date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:23	76269/76269	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:22%20GMT	https://www.framer.com/community/gallery/newgenre-studio/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/newgenre-studio/FramerElectron/index.html	(from https://www.framer.com/community/gallery/newgenre-studio/)
13:48:24	290652/290652	---M-Z	200	added ('OK')	text/html	etag:%22c0e2f74e1db63305ed306dd680690903%22	https://www.framer.com/dictionary/route-prefetching	./wearestokt-mirror/www.framer.com/dictionary/route-prefetching.html	(from https://www.framer.com/performance/)
13:48:24	76278/76278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:23%20GMT	https://www.framer.com/community/gallery/resolve-healthware/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/resolve-healthware/FramerElectron/index.html	(from https://www.framer.com/community/gallery/resolve-healthware/)
13:48:24	76235/76235	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:23%20GMT	https://www.framer.com/community/gallery/pinboard/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/pinboard/FramerElectron/index.html	(from https://www.framer.com/community/gallery/pinboard/)
13:48:24	76247/76247	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:23%20GMT	https://www.framer.com/community/gallery/luxury-clone/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/luxury-clone/FramerElectron/index.html	(from https://www.framer.com/community/gallery/luxury-clone/)
13:48:25	76269/76269	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202026%2008:48:24%20GMT	https://www.framer.com/community/gallery/adam-jakubowski/FramerElectron/	./wearestokt-mirror/www.framer.com/community/gallery/adam-jakubowski/FramerElectron/index.html	(from https://www.framer.com/community/gallery/adam-jakubowski/)
13:48:26	121785/121785	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:25%20GMT	https://www.framer.com/marketplace/components/FramerElectron/	./wearestokt-mirror/www.framer.com/marketplace/components/FramerElectron/index.html	(from https://www.framer.com/marketplace/components/)
13:48:26	198557/198557	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:25%20GMT	https://www.framer.com/marketplace/components/reveal-text/	./wearestokt-mirror/www.framer.com/marketplace/components/reveal-text/index.html	(from https://www.framer.com/marketplace/components/)
13:48:26	10691/10691	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Aug%202026%2009:58:12%20GMT	https://www.framer.com/creators-assets/_next/image/?url=https%3A%2F%2Fy4pdgnepgswqffpt.public.blob.vercel-storage.com%2Fcomponents%2FzDtiSTBfViqo5tUzeRNn%2Freveal-text-HHHflMBg2sZ0qDONHj5Be97xbHECVB&w=3840&q=90	./wearestokt-mirror/www.framer.com/creators-assets/_next/image/indexec6c.html	(from https://www.framer.com/marketplace/components/)
13:48:27	1054247/1054247	---M-Z	200	added ('OK')	text/html	etag:%22e3ffb2bc259f2a8f73be3ea099ff6774%22	https://www.framer.com/dictionary/lazy-loading	./wearestokt-mirror/www.framer.com/dictionary/lazy-loading.html	(from https://www.framer.com/performance/)
